prefix_tokens,mean_next_token_entropy,silhouette_score,model_id,participation_ratio,effective_rank
80,0.07575828754439135,,meta-llama/Meta-Llama-3-8B-Instruct,0.015668267384171486,0.07820726186037064
90,0.09138293186722896,,meta-llama/Meta-Llama-3-8B-Instruct,0.01761053130030632,0.08904533833265305
100,0.08196083730818905,,meta-llama/Meta-Llama-3-8B-Instruct,0.01931244693696499,0.09816781431436539
110,0.08843656902414676,,meta-llama/Meta-Llama-3-8B-Instruct,0.020711403340101242,0.10530297458171844
120,0.09298199028227677,,meta-llama/Meta-Llama-3-8B-Instruct,0.02199620194733143,0.11182110756635666
130,0.09941136538350827,,meta-llama/Meta-Llama-3-8B-Instruct,0.02298397198319435,0.11696264892816544
140,0.12482180545704685,,meta-llama/Meta-Llama-3-8B-Instruct,0.023604797199368477,0.12029734253883362
150,0.14732124386217507,,meta-llama/Meta-Llama-3-8B-Instruct,0.02399672195315361,0.12251152098178864
10,0.4004494710988132,,meta-llama/Llama-3.2-3B-Instruct,0.007279043674468994,0.008288465499877929
20,0.17907573216600337,,meta-llama/Llama-3.2-3B-Instruct,0.0068037395477294925,0.009198558807373048
30,0.15249231003278757,,meta-llama/Llama-3.2-3B-Instruct,0.005911534627278646,0.013141581217447917
40,0.07983043216945244,,meta-llama/Llama-3.2-3B-Instruct,0.007948165759444237,0.028230016430219013
50,0.10468129453325144,,meta-llama/Llama-3.2-3B-Instruct,0.010941840708255768,0.050859679778416954
60,0.08359833362244135,,meta-llama/Llama-3.2-3B-Instruct,0.014112597952286402,0.07408435146013896
70,0.09578358049854996,,meta-llama/Llama-3.2-3B-Instruct,0.017418925960858662,0.09681689739227295
80,0.1066222577563968,,meta-llama/Llama-3.2-3B-Instruct,0.020392718414465588,0.11552922924359639
90,0.13358775340332651,,meta-llama/Llama-3.2-3B-Instruct,0.02305569499731064,0.1311856508255005
100,0.1107351135287161,,meta-llama/Llama-3.2-3B-Instruct,0.02545890212059021,0.14452534914016724
110,0.11990308107058935,,meta-llama/Llama-3.2-3B-Instruct,0.02753206839164098,0.15524548292160034
120,0.12941974047835555,,meta-llama/Llama-3.2-3B-Instruct,0.029350462059179943,0.16484462221463522
130,0.13474379404362244,,meta-llama/Llama-3.2-3B-Instruct,0.030812181532382965,0.17252870400746664
140,0.15573350506046335,,meta-llama/Llama-3.2-3B-Instruct,0.031799718737602234,0.17770302295684814
150,0.17361958331753652,,meta-llama/Llama-3.2-3B-Instruct,0.03247468173503876,0.18135112524032593
10,0.35770262248033474,,mistralai/Mistral-7B-Instruct-v0.2,0.008053050994873048,0.008851021766662597
20,0.15863752821133928,,mistralai/Mistral-7B-Instruct-v0.2,0.008229039192199706,0.010745410919189452
30,0.18627732530393198,,mistralai/Mistral-7B-Instruct-v0.2,0.005861397425333659,0.009902208328247071
40,0.11902758516066497,,mistralai/Mistral-7B-Instruct-v0.2,0.0049849581718444825,0.013514826774597168
50,0.043618255806734674,,mistralai/Mistral-7B-Instruct-v0.2,0.005819325335323811,0.021556515246629715
60,0.07740133733396187,,mistralai/Mistral-7B-Instruct-v0.2,0.0071512144058942795,0.033493950963020325
70,0.06852644989243918,,mistralai/Mistral-7B-Instruct-v0.2,0.008536320179700851,0.04613247513771057
80,0.07027001151894825,,mistralai/Mistral-7B-Instruct-v0.2,0.01013448741286993,0.05985218286514282
90,0.085850375512061,,mistralai/Mistral-7B-Instruct-v0.2,0.011775592342019081,0.07298994809389114
100,0.07169885140253983,,mistralai/Mistral-7B-Instruct-v0.2,0.013313566334545612,0.08493302017450333
110,0.09852728198448535,,mistralai/Mistral-7B-Instruct-v0.2,0.01487822737544775,0.09606543183326721
120,0.0865124719501609,,mistralai/Mistral-7B-Instruct-v0.2,0.016499526798725128,0.10644417256116867
130,0.0921916264082926,,mistralai/Mistral-7B-Instruct-v0.2,0.017911013215780258,0.11516357958316803
140,0.09243598767506471,,mistralai/Mistral-7B-Instruct-v0.2,0.019306745380163193,0.12340063601732254
150,0.09761044438060923,,mistralai/Mistral-7B-Instruct-v0.2,0.020603226497769356,0.130519837141037
10,2.179608529626632e-05,,Qwen/Qwen2.5-7B-Instruct,0.00779027271270752,0.009196853637695313
20,0.16178843163484713,,Qwen/Qwen2.5-7B-Instruct,0.007716017723083496,0.010735660552978516
30,0.16607480214404244,,Qwen/Qwen2.5-7B-Instruct,0.005898406982421875,0.013062173207600912
40,0.08703236109115854,,Qwen/Qwen2.5-7B-Instruct,0.005483796021768025,0.017080941370555332
50,0.09533565271950144,,Qwen/Qwen2.5-7B-Instruct,0.006296875753573009,0.023763247898646762
60,0.08703176168818219,,Qwen/Qwen2.5-7B-Instruct,0.0068870314529963905,0.02907502225467137
